,id,age,sport,years experience,hours training,ranking
122,0047,16,Soccer,2,16.05,0.6
123,0048,16,Swimming,1,8.0,0.01
124,0048,15,Basketball,1,10.7,0.18
125,0048,16,Basketball,2,14.73,0.53
126,0048,14,Track and Field,3,14.8,0.73
127,0048,15,Track and Field,4,18.16,0.9
128,0048,16,Track and Field,5,24.93,0.97
129,0051,15,Basketball,3,13.1,0.63
130,0051,16,Basketball,4,17.33,0.89
131,0051,15,Swimming,3,9.1,0.51
132,0051,16,Swimming,4,11.41,0.7
133,0051,16,Track and Field,1,12.0,0.22
134,0053,18,Swimming,1,15.6,0.34
135,0053,17,Track and Field,1,9.3,0.07
136,0053,18,Track and Field,2,10.61,0.37
137,0053,16,Soccer,1,11.0,0.13
138,0053,17,Soccer,2,13.74,0.5
139,0053,18,Soccer,3,17.85,0.79
140,0054,15,Soccer,3,15.1,0.75
141,0054,15,Basketball,2,11.9,0.46
142,0054,15,Track and Field,4,11.3,0.75
143,0055,14,Soccer,1,9.4,0.06
144,0055,14,Swimming,4,13.0,0.8
145,0056,14,Basketball,4,9.0,0.61
146,0056,15,Basketball,5,10.82,0.78
147,0058,14,Track and Field,4,12.0,0.75
148,0058,15,Track and Field,5,16.01,0.9
149,0058,14,Basketball,3,9.8,0.52
150,0058,15,Basketball,4,12.07,0.77
151,0059,14,Soccer,1,11.4,0.12
152,0060,16,Swimming,1,11.0,0.17
153,0060,17,Swimming,2,13.2,0.45
154,0060,18,Swimming,3,17.1,0.81
155,0060,17,Track and Field,1,11.3,0.14
156,0060,18,Track and Field,2,13.08,0.49
157,0061,16,Soccer,1,8.0,0.01
158,0061,15,Swimming,1,9.7,0.11
159,0061,16,Swimming,2,10.72,0.42
160,0062,16,Basketball,1,10.0,0.13
161,0062,17,Basketball,2,11.92,0.43
162,0062,17,Swimming,1,8.3,0.02
163,0065,15,Soccer,1,14.7,0.29
164,0065,15,Basketball,2,7.9,0.31
165,0066,15,Basketball,1,13.7,0.26
166,0066,15,Track and Field,1,14.7,0.3
167,0067,17,Basketball,1,10.3,0.09
168,0067,15,Track and Field,1,9.7,0.12
169,0067,16,Track and Field,2,11.44,0.39
170,0067,17,Track and Field,3,15.02,0.72
171,0070,15,Track and Field,1,12.7,0.2
172,0070,16,Track and Field,2,17.61,0.62
173,0070,17,Track and Field,3,23.92,0.88
174,0070,16,Swimming,1,10.0,0.12
175,0070,17,Swimming,2,11.93,0.41
176,0071,15,Swimming,1,11.7,0.15
177,0071,16,Swimming,2,13.8,0.49
178,0071,17,Swimming,3,17.56,0.8
179,0072,17,Swimming,1,11.3,0.15
180,0072,17,Basketball,1,14.3,0.28
181,0072,14,Track and Field,3,12.8,0.67
182,0072,15,Track and Field,4,17.43,0.87
183,0072,16,Track and Field,5,20.74,0.95
184,0072,17,Track and Field,6,23.03,0.99
185,0074,17,Soccer,1,10.3,0.14
186,0074,18,Soccer,2,13.16,0.51
187,0074,18,Track and Field,1,15.6,0.34
188,0074,15,Basketball,3,14.1,0.69
189,0074,16,Basketball,4,17.61,0.89
190,0074,17,Basketball,5,21.97,0.96
191,0074,18,Basketball,6,26.48,0.99
192,0075,15,Basketball,1,8.7,0.08
193,0075,16,Basketball,2,11.43,0.44
194,0075,17,Basketball,3,14.34,0.7
195,0076,18,Basketball,1,8.6,0.04
196,0076,17,Track and Field,1,10.3,0.15
197,0076,18,Track and Field,2,11.88,0.43
198,0077,14,Soccer,3,11.8,0.64
199,0077,15,Soccer,4,15.58,0.84
200,0077,16,Soccer,5,20.01,0.95
201,0077,17,Soccer,6,24.02,0.99
202,0079,15,Swimming,4,11.3,0.74
203,0079,15,Soccer,3,14.1,0.73
204,0080,14,Track and Field,3,9.8,0.55
205,0080,15,Track and Field,4,11.54,0.73
206,0080,16,Track and Field,5,15.73,0.92
207,0080,17,Track and Field,6,19.37,0.98
208,0081,16,Swimming,1,10.0,0.08
209,0081,17,Swimming,2,11.88,0.44
210,0081,18,Swimming,3,13.75,0.65
211,0081,18,Track and Field,1,9.6,0.11
212,0083,15,Swimming,3,14.1,0.69
213,0085,15,Swimming,2,13.9,0.49
214,0085,16,Swimming,3,19.22,0.81
215,0085,15,Track and Field,2,11.9,0.44
216,0085,16,Track and Field,3,16.36,0.77
217,0086,16,Swimming,1,11.0,0.12
218,0087,14,Swimming,3,10.8,0.61
219,0087,14,Soccer,4,8.0,0.53
220,0089,15,Track and Field,2,8.9,0.37
221,0089,16,Track and Field,3,9.89,0.52
222,0089,17,Track and Field,4,12.63,0.77
223,0090,14,Basketball,3,9.8,0.53
224,0090,14,Soccer,3,7.8,0.45
225,0091,15,Soccer,3,12.1,0.6
226,0091,15,Swimming,1,7.7,0.01
227,0092,15,Soccer,1,13.7,0.26
228,0092,16,Soccer,2,17.36,0.61
229,0092,17,Soccer,3,20.92,0.85
230,0092,18,Soccer,4,29.04,0.96
231,0092,15,Track and Field,4,12.3,0.77
232,0092,16,Track and Field,5,17.11,0.94
233,0092,17,Track and Field,6,22.68,0.98
234,0092,18,Track and Field,7,28.72,1.0
235,0094,14,Track and Field,2,14.6,0.54
236,0095,15,Basketball,3,9.1,0.51
237,0095,16,Basketball,4,12.18,0.73
238,0096,14,Soccer,3,11.8,0.65
239,0096,15,Soccer,4,14.17,0.81
240,0096,16,Soccer,5,17.76,0.92
241,0096,17,Soccer,6,23.16,0.98
242,0098,17,Track and Field,1,15.3,0.29
243,0098,16,Swimming,1,10.0,0.09
244,0098,17,Swimming,2,13.12,0.47
245,0099,16,Swimming,1,12.0,0.18
246,0099,17,Swimming,2,14.84,0.56
247,0099,17,Basketball,1,12.3,0.18
248,0099,17,Soccer,1,11.3,0.16
249,0101,14,Track and Field,2,14.6,0.51
250,0103,15,Track and Field,4,8.3,0.55
251,0104,16,Swimming,1,14.0,0.31
252,0104,17,Swimming,2,16.39,0.59
253,0104,16,Basketball,1,14.0,0.24
254,0104,17,Basketball,2,16.95,0.55
255,0104,16,Track and Field,1,12.0,0.16
256,0104,17,Track and Field,2,13.85,0.51
257,0105,14,Soccer,2,8.6,0.35
258,0105,14,Swimming,3,9.8,0.51
259,0106,18,Soccer,1,13.6,0.24
260,0106,18,Basketball,1,11.6,0.22
261,0106,17,Track and Field,1,13.3,0.26
262,0106,18,Track and Field,2,18.58,0.66
263,0107,14,Soccer,4,14.0,0.78
264,0108,15,Basketball,4,9.3,0.66
265,0108,16,Basketball,5,10.4,0.79
266,0108,17,Basketball,6,12.77,0.91
267,0108,18,Basketball,7,15.95,0.97
268,0108,15,Soccer,4,14.3,0.82
269,0108,16,Soccer,5,17.98,0.92
270,0108,17,Soccer,6,24.37,0.98
271,0108,18,Soccer,7,29.13,1.0
272,0108,17,Swimming,1,8.3,0.03
273,0108,18,Swimming,2,10.94,0.43
274,0109,16,Soccer,1,15.0,0.32
275,0109,14,Basketball,2,7.6,0.34
276,0109,15,Basketball,3,9.17,0.51
277,0109,16,Basketball,4,12.14,0.79
278,0110,15,Basketball,1,10.7,0.16
279,0110,15,Swimming,1,14.7,0.28
280,0110,15,Track and Field,1,14.7,0.34
281,0111,17,Basketball,1,10.3,0.1
282,0112,16,Basketball,1,8.0,0.05
283,0113,18,Soccer,1,11.6,0.16
284,0113,15,Track and Field,4,12.3,0.73
285,0113,16,Track and Field,5,17.18,0.92
286,0113,17,Track and Field,6,21.26,0.97
287,0113,18,Track and Field,7,25.99,1.0
288,0114,16,Soccer,1,13.0,0.23
289,0114,15,Track and Field,1,14.7,0.31
290,0114,16,Track and Field,2,18.18,0.61
291,0115,15,Track and Field,3,8.1,0.44
292,0115,16,Track and Field,4,11.11,0.72
293,0115,17,Track and Field,5,14.53,0.9
294,0115,18,Track and Field,6,17.1,0.96
295,0115,17,Swimming,1,15.3,0.33
296,0115,18,Swimming,2,18.16,0.63
297,0117,16,Soccer,1,14.0,0.31
298,0117,14,Track and Field,4,12.0,0.74
299,0117,15,Track and Field,5,13.3,0.86
300,0117,16,Track and Field,6,18.48,0.96
301,0117,14,Swimming,4,8.0,0.6
302,0117,15,Swimming,5,9.18,0.73
303,0117,16,Swimming,6,11.68,0.87
304,0118,15,Swimming,2,9.9,0.37
305,0118,15,Track and Field,2,13.9,0.46
306,0121,14,Swimming,2,7.6,0.35
307,0121,15,Swimming,3,8.54,0.43
308,0121,16,Swimming,4,10.61,0.74
309,0121,15,Soccer,1,9.7,0.1
310,0121,16,Soccer,2,12.99,0.44
311,0122,15,Soccer,2,14.9,0.54
312,0122,16,Soccer,3,18.97,0.81
313,0122,15,Track and Field,4,9.3,0.62
314,0122,16,Track and Field,5,12.92,0.87
315,0122,16,Swimming,1,15.0,0.3
316,0123,17,Track and Field,1,9.3,0.05
317,0124,18,Swimming,1,14.6,0.31
318,0124,16,Track and Field,1,12.0,0.19
319,0124,17,Track and Field,2,15.02,0.53
320,0124,18,Track and Field,3,16.81,0.8
321,0125,18,Soccer,1,11.6,0.21
322,0125,15,Basketball,3,14.1,0.73
323,0125,16,Basketball,4,19.14,0.92
324,0125,17,Basketball,5,25.88,0.98
325,0125,18,Basketball,6,35.19,1.0
326,0127,15,Swimming,1,12.7,0.27
327,0127,16,Swimming,2,17.6,0.64
328,0127,17,Swimming,3,20.98,0.87
329,0127,18,Swimming,4,23.33,0.94
330,0127,15,Track and Field,2,9.9,0.36
331,0127,16,Track and Field,3,10.99,0.62
332,0127,17,Track and Field,4,15.17,0.81
333,0127,18,Track and Field,5,18.11,0.93
334,0128,14,Swimming,4,9.0,0.61
335,0129,14,Soccer,4,10.0,0.67
336,0130,14,Soccer,1,10.4,0.15
337,0130,15,Soccer,2,11.95,0.46
338,0130,15,Basketball,1,11.7,0.16
339,0134,14,Track and Field,3,12.8,0.67
340,0134,15,Track and Field,4,15.81,0.85
341,0134,16,Track and Field,5,19.86,0.95
342,0134,17,Track and Field,6,22.39,0.98
343,0134,15,Basketball,1,10.7,0.16
344,0134,16,Basketball,2,14.26,0.5
345,0134,17,Basketball,3,16.6,0.77
346,0134,17,Swimming,1,13.3,0.28
347,0135,15,Soccer,3,12.1,0.65
348,0135,16,Soccer,4,13.91,0.82
349,0135,17,Soccer,5,18.33,0.92
350,0135,18,Soccer,6,23.52,0.98
351,0136,15,Soccer,1,7.7,0.03
352,0136,16,Soccer,2,9.44,0.36
353,0137,16,Basketball,1,11.0,0.18
354,0137,15,Swimming,3,14.1,0.72
355,0137,16,Swimming,4,18.81,0.9
356,0137,15,Soccer,3,13.1,0.68
357,0137,16,Soccer,4,18.26,0.87
358,0138,15,Track and Field,1,10.7,0.17
359,0138,15,Swimming,4,8.3,0.62
360,0139,16,Soccer,1,9.0,0.08
361,0139,17,Soccer,2,12.32,0.45
362,0139,18,Soccer,3,16.72,0.77
363,0140,15,Track and Field,4,15.3,0.82
364,0140,16,Track and Field,5,19.74,0.95
365,0140,15,Basketball,1,8.7,0.03
366,0140,16,Basketball,2,10.72,0.39
367,0141,15,Swimming,2,12.9,0.48
368,0141,15,Track and Field,1,14.7,0.33
369,0142,16,Basketball,1,11.0,0.13
370,0142,15,Track and Field,4,10.3,0.65
371,0142,16,Track and Field,5,12.7,0.87
372,0143,15,Soccer,4,12.3,0.77
373,0143,15,Basketball,4,15.3,0.84
374,0144,15,Soccer,1,10.7,0.1
375,0144,16,Soccer,2,14.83,0.5
376,0146,16,Track and Field,1,13.0,0.26
377,0146,17,Track and Field,2,16.83,0.59
378,0146,18,Track and Field,3,21.07,0.85
379,0148,16,Swimming,1,8.0,0.05
380,0148,17,Swimming,2,10.65,0.42
381,0148,17,Track and Field,1,9.3,0.07
382,0149,15,Basketball,3,10.1,0.55
383,0149,15,Soccer,1,11.7,0.21
384,0149,15,Track and Field,4,8.3,0.59
385,0150,16,Soccer,1,10.0,0.13
386,0150,17,Soccer,2,13.24,0.51
387,0150,17,Basketball,1,13.3,0.23
388,0152,15,Track and Field,3,9.1,0.48
389,0152,15,Soccer,3,9.1,0.46
390,0152,15,Basketball,4,10.3,0.72
391,0153,15,Basketball,3,10.1,0.55
392,0153,16,Basketball,4,13.15,0.79
393,0153,16,Track and Field,1,12.0,0.21
394,0153,15,Soccer,1,8.7,0.06
395,0153,16,Soccer,2,10.91,0.41
396,0155,14,Soccer,1,11.4,0.16
397,0155,14,Basketball,4,13.0,0.78
398,0155,14,Track and Field,4,10.0,0.63
399,0156,16,Soccer,1,12.0,0.18
400,0156,14,Track and Field,3,12.8,0.63
401,0156,15,Track and Field,4,14.33,0.8
402,0156,16,Track and Field,5,16.51,0.92
403,0157,14,Soccer,2,7.6,0.33
404,0157,15,Soccer,3,9.06,0.51
405,0158,17,Basketball,1,12.3,0.23
406,0158,17,Swimming,1,14.3,0.25
407,0159,15,Basketball,1,11.7,0.17
408,0160,15,Track and Field,3,11.1,0.59
409,0160,16,Track and Field,4,13.09,0.76
410,0160,17,Track and Field,5,17.35,0.91
411,0160,16,Swimming,1,13.0,0.21
412,0160,17,Swimming,2,17.96,0.67
413,0162,14,Track and Field,3,7.8,0.43
414,0162,15,Track and Field,4,9.77,0.63
415,0162,16,Track and Field,5,11.1,0.8
416,0162,15,Basketball,1,12.7,0.23
417,0162,16,Basketball,2,14.24,0.52
418,0163,16,Track and Field,1,8.0,0.04
419,0163,17,Track and Field,2,10.92,0.39
420,0163,18,Track and Field,3,14.33,0.7
421,0163,15,Basketball,1,13.7,0.26
422,0163,16,Basketball,2,15.63,0.58
423,0163,17,Basketball,3,17.34,0.79
424,0163,18,Basketball,4,21.75,0.94
425,0164,15,Swimming,1,13.7,0.26
426,0164,16,Swimming,2,15.67,0.54
427,0164,15,Track and Field,1,8.7,0.03
428,0164,16,Track and Field,2,11.59,0.4
429,0164,14,Basketball,2,9.6,0.38
430,0164,15,Basketball,3,11.37,0.57
431,0164,16,Basketball,4,15.47,0.86
432,0165,14,Track and Field,4,8.0,0.54
433,0165,14,Basketball,4,10.0,0.66
434,0167,14,Track and Field,1,10.4,0.09
435,0167,14,Soccer,3,8.8,0.49
436,0168,15,Soccer,1,9.7,0.09
437,0168,16,Soccer,2,11.61,0.42
438,0168,15,Basketball,1,7.7,0.02
439,0168,16,Basketball,2,9.53,0.37
440,0169,15,Soccer,1,13.7,0.24
441,0170,15,Basketball,1,14.7,0.33
442,0171,16,Swimming,1,11.0,0.18
443,0171,16,Track and Field,1,8.0,0.03
444,0172,16,Track and Field,1,8.0,0.05
445,0172,15,Soccer,4,10.3,0.71
446,0172,16,Soccer,5,11.58,0.84
447,0173,15,Basketball,3,14.1,0.72
448,0173,16,Basketball,4,16.16,0.87
449,0173,17,Basketball,5,21.23,0.96
450,0173,18,Basketball,6,24.69,0.98
451,0173,15,Soccer,1,10.7,0.13
452,0173,16,Soccer,2,12.19,0.46
453,0173,17,Soccer,3,15.82,0.74
454,0173,18,Soccer,4,19.39,0.89
455,0173,16,Swimming,1,12.0,0.24
456,0173,17,Swimming,2,14.27,0.49
457,0173,18,Swimming,3,17.72,0.8
458,0174,15,Soccer,1,10.7,0.11
459,0176,15,Soccer,2,10.9,0.42
460,0176,16,Soccer,3,14.33,0.73
461,0176,17,Soccer,4,19.84,0.92
462,0176,15,Track and Field,4,15.3,0.87
463,0176,16,Track and Field,5,19.06,0.93
464,0176,17,Track and Field,6,25.66,0.99
465,0180,16,Soccer,1,9.0,0.06
466,0180,17,Soccer,2,10.61,0.39
467,0180,16,Basketball,1,13.0,0.25
468,0180,17,Basketball,2,15.77,0.57
469,0181,14,Track and Field,4,15.0,0.81
470,0181,15,Track and Field,5,18.72,0.94
471,0181,14,Basketball,1,10.4,0.09
472,0181,15,Basketball,2,11.6,0.4
473,0182,14,Swimming,3,13.8,0.65
474,0182,15,Swimming,4,17.57,0.9
475,0182,16,Swimming,5,22.13,0.97
476,0182,17,Swimming,6,26.99,0.99
477,0183,15,Basketball,3,8.1,0.46
478,0184,16,Track and Field,1,12.0,0.19
479,0184,15,Soccer,1,13.7,0.31
480,0184,16,Soccer,2,16.17,0.59
481,0184,15,Basketball,1,11.7,0.22
482,0184,16,Basketball,2,13.9,0.48
483,0185,15,Swimming,4,12.3,0.76
484,0185,16,Swimming,5,15.7,0.91
485,0186,15,Basketball,1,11.7,0.17
486,0186,16,Basketball,2,16.24,0.61
487,0186,17,Basketball,3,22.5,0.85
488,0186,18,Basketball,4,25.95,0.95
489,0186,15,Soccer,2,7.9,0.31
490,0186,16,Soccer,3,9.1,0.5
491,0186,17,Soccer,4,11.89,0.77
492,0186,18,Soccer,5,15.72,0.92
493,0187,16,Basketball,1,9.0,0.08
494,0187,17,Basketball,2,10.5,0.39
495,0188,15,Track and Field,1,8.7,0.05
496,0188,15,Basketball,1,9.7,0.12
497,0188,14,Soccer,2,9.6,0.36
498,0188,15,Soccer,3,12.36,0.65
499,0189,14,Swimming,3,14.8,0.76
500,0189,14,Soccer,2,13.6,0.47
501,0190,16,Swimming,1,15.0,0.32
502,0190,17,Swimming,2,20.16,0.66
503,0191,16,Swimming,1,13.0,0.24
504,0191,17,Swimming,2,14.43,0.49
505,0191,15,Soccer,1,9.7,0.1
506,0191,16,Soccer,2,13.22,0.45
507,0191,17,Soccer,3,17.93,0.81
508,0193,14,Basketball,2,7.6,0.32
509,0193,15,Basketball,3,8.78,0.48
510,0194,15,Soccer,1,12.7,0.19
511,0194,15,Track and Field,1,7.7,0.0
512,0195,15,Swimming,1,12.7,0.26
513,0195,15,Soccer,2,10.9,0.39
514,0196,14,Basketball,2,8.6,0.36
515,0196,14,Swimming,3,10.8,0.58
516,0197,14,Track and Field,4,10.0,0.7
517,0197,15,Track and Field,5,13.6,0.89
518,0197,16,Track and Field,6,18.99,0.97
519,0198,16,Swimming,1,8.0,0.05
520,0198,16,Basketball,1,15.0,0.34
521,0198,16,Track and Field,1,8.0,0.02
522,0199,17,Basketball,1,11.3,0.2
523,0199,17,Track and Field,1,14.3,0.31
524,0199,15,Swimming,1,13.7,0.25
525,0199,16,Swimming,2,17.22,0.56
526,0199,17,Swimming,3,20.21,0.84
527,0200,15,Soccer,1,10.7,0.11
528,0200,16,Soccer,2,13.2,0.48
529,0200,17,Soccer,3,15.15,0.76
530,0200,18,Soccer,4,18.23,0.87
531,0200,17,Track and Field,1,11.3,0.21
532,0200,18,Track and Field,2,15.17,0.53
533,0201,15,Soccer,4,10.3,0.72
534,0201,16,Soccer,5,12.44,0.81
535,0201,16,Track and Field,1,12.0,0.2
536,0201,16,Swimming,1,8.0,0.04
537,0202,14,Basketball,4,15.0,0.84
538,0202,14,Soccer,1,7.4,0.01
539,0202,14,Swimming,2,7.6,0.34
540,0203,14,Swimming,1,8.4,0.04
541,0203,15,Swimming,2,9.6,0.38
542,0203,14,Basketball,4,14.0,0.81
543,0203,15,Basketball,5,19.49,0.95
544,0203,15,Soccer,1,14.7,0.26
545,0204,16,Soccer,1,15.0,0.31
546,0204,16,Swimming,1,10.0,0.09
547,0204,16,Track and Field,1,13.0,0.22
548,0205,15,Soccer,4,13.3,0.8
549,0207,14,Swimming,4,11.0,0.69
550,0208,14,Basketball,1,11.4,0.21
551,0209,14,Swimming,2,12.6,0.44
552,0209,15,Swimming,3,14.17,0.71
553,0209,15,Soccer,1,7.7,0.03
554,0211,17,Swimming,1,10.3,0.14
555,0211,18,Swimming,2,13.76,0.47
556,0211,16,Basketball,1,14.0,0.26
557,0211,17,Basketball,2,17.08,0.62
558,0211,18,Basketball,3,22.06,0.85
559,0211,18,Soccer,1,11.6,0.2
560,0212,14,Swimming,3,7.8,0.4
561,0213,16,Swimming,1,12.0,0.21
562,0213,15,Track and Field,2,12.9,0.44
563,0213,16,Track and Field,3,16.8,0.75
564,0213,15,Soccer,2,10.9,0.4
565,0213,16,Soccer,3,13.78,0.69
566,0214,17,Basketball,1,10.3,0.14
567,0214,15,Soccer,1,12.7,0.23
568,0214,16,Soccer,2,17.13,0.62
569,0214,17,Soccer,3,18.89,0.83
570,0216,15,Track and Field,3,13.1,0.68
571,0216,15,Swimming,3,12.1,0.66
572,0216,15,Basketball,4,13.3,0.79
573,0217,15,Swimming,1,9.7,0.09
574,0217,15,Soccer,1,7.7,0.01
575,0217,15,Track and Field,4,10.3,0.69
576,0218,15,Swimming,1,11.7,0.16
577,0218,15,Track and Field,4,15.3,0.85
578,0219,15,Swimming,1,12.7,0.2
579,0219,16,Swimming,2,16.58,0.59
580,0219,14,Track and Field,3,11.8,0.64
581,0219,15,Track and Field,4,14.88,0.8
582,0219,16,Track and Field,5,18.0,0.93
583,0220,17,Basketball,1,9.3,0.06
584,0220,16,Swimming,1,11.0,0.19
585,0220,17,Swimming,2,13.78,0.48
586,0222,15,Soccer,2,14.9,0.55
587,0222,15,Swimming,2,12.9,0.48
588,0222,15,Track and Field,4,13.3,0.79
589,0223,17,Track and Field,1,9.3,0.09
590,0224,16,Soccer,1,10.0,0.07
591,0224,16,Basketball,1,14.0,0.25
592,0224,15,Swimming,1,10.7,0.16
593,0224,16,Swimming,2,12.08,0.42
594,0226,14,Track and Field,4,8.0,0.6
595,0230,16,Basketball,1,11.0,0.17
596,0230,17,Basketball,2,14.86,0.56
597,0230,17,Swimming,1,14.3,0.26
598,0233,14,Soccer,1,8.4,0.02
599,0233,15,Soccer,2,11.04,0.41
600,0233,16,Soccer,3,14.53,0.69
601,0233,17,Soccer,4,18.08,0.87
602,0233,14,Swimming,1,9.4,0.09
603,0233,15,Swimming,2,13.1,0.49
604,0233,16,Swimming,3,14.65,0.72
605,0233,17,Swimming,4,17.2,0.9
606,0233,16,Track and Field,1,14.0,0.25
607,0233,17,Track and Field,2,17.88,0.57
608,0235,15,Basketball,1,14.7,0.32
609,0236,15,Track and Field,1,10.7,0.14
610,0236,16,Track and Field,2,13.44,0.49
611,0236,17,Track and Field,3,15.18,0.72
612,0236,17,Basketball,1,8.3,0.02
613,0236,17,Swimming,1,9.3,0.11
614,0237,14,Track and Field,3,11.8,0.62
615,0237,15,Track and Field,4,15.55,0.87
616,0237,16,Track and Field,5,21.3,0.95
617,0237,15,Soccer,1,13.7,0.27
618,0237,16,Soccer,2,18.41,0.6
619,0237,16,Swimming,1,11.0,0.19
620,0238,16,Basketball,1,14.0,0.23
621,0238,17,Basketball,2,18.14,0.61
622,0238,14,Soccer,1,9.4,0.09
623,0238,15,Soccer,2,12.95,0.48
624,0238,16,Soccer,3,14.66,0.68
625,0238,17,Soccer,4,18.22,0.9
